sensor_nitrogen,sensor_phosphorus,sensor_potassium,soil_pH,soil_moisture_percent,soil_electrical_conductivity_us_cm,soil_temperature_celsius,crop_type,season,,,,,fertilizer_urea_kg_per_ha,fertilizer_dap_kg_per_ha,fertilizer_map_kg_per_ha,fertilizer_mop_kg_per_ha,fertilizer_sop_kg_per_ha,fertilizer_can_kg_per_ha,fertilizer_ssp_kg_per_ha,fertilizer_ammonium_sulfate_kg_per_ha,post_application_nitrogen,post_application_phosphorus,post_application_potassium,crop_yield_t_per_ha,soil_organic_carbon_percent,soil_sulfur_percent,soil_calcium_meq_per_100g,soil_magnesium_meq_per_100g
181.1258321,21.10797573,178.5117051,7.181757486,27.15987635,847.9074885,26.20642385,Maize,Kharif,,,,,159.5955382,85.10607201,19.89378685,52.33699743,29.37012225,48.85625623,92.08583506,23.4464776,163.3883052,46.05101997,368.5472457,8.303024814,0.53885331,0.036825364,15.25163041,4.492982397
336.6928627,42.51405684,174.0936397,7.491703493,34.16296988,999.5277528,14.30965905,Wheat,Rabi,,,,,174.8792523,50.45564285,26.05392017,89.69842012,27.71966155,58.55266172,33.63799252,35.93811541,271.7310203,77.48779146,440.8585422,2.836203048,0.568144575,0.014202659,12.84363552,6.322936077
277.6383643,62.37675015,371.8763742,6.126169747,32.80482789,1723.640047,31.80986408,Maize,Rabi,,,,,157.2216038,63.07973206,38.75456292,45.40665282,22.09375047,43.35735685,121.7467959,92.59768215,356.0169234,45.47079224,182.7615539,8.00185599,0.596505462,0.045638745,14.74798944,4.039939171
241.6377907,53.93349318,174.86386,7.062185249,14.61699714,746.0083335,25.32790598,Maize,Rabi,,,,,159.5366249,91.34439089,45.04131486,42.61722261,49.46554879,67.77951747,130.2513554,27.7168083,266.9311028,46.13304347,160.5658401,4.870739529,1.067604811,0.027426312,18.14667868,6.968289603
122.1250329,58.39366887,181.5849178,6.929364958,14.47748409,1752.334401,13.93009709,Wheat,Rabi,,,,,126.8712056,93.10370075,27.40363707,31.09252057,20.87949292,77.38467299,104.3305865,88.54847371,130.0754069,74.54267045,165.8005791,6.413528369,0.391259244,0.046787669,10.7963879,5.580659944
122.1185205,49.527002,327.8194787,7.582075942,18.04523103,267.4554189,34.05845144,Cotton,Kharif,,,,,156.8177085,37.26199972,31.41523822,44.74044474,29.60160826,55.78947824,119.8468362,34.22425905,128.3040288,54.26266597,180.980078,4.244464937,0.987035848,0.038280697,16.5387527,5.854885219
95.68257529,51.53659387,234.9219527,7.765217651,20.83224179,1575.917031,22.95913658,Groundnut,Kharif,,,,,113.4030403,23.48759374,47.27131973,66.29720033,26.19572387,89.88753546,92.72472038,88.94278772,289.5408809,81.94263394,294.394552,9.891652575,1.283143484,0.01485849,7.383581523,9.540857119
313.8675594,60.95173909,333.0131671,5.530391929,22.25366744,1710.340503,11.8224613,Maize,Kharif,,,,,147.723373,44.43284248,14.29994548,67.69562111,16.80997704,61.36206898,104.2024055,63.04175705,211.8348364,61.30950297,441.8197828,9.246722337,1.219828532,0.033167865,15.51778348,7.649282585
242.3010532,24.98008053,119.6098473,7.185049798,30.39091651,445.4535404,25.67082261,Wheat,Kharif,,,,,88.85588152,75.66418519,44.49196868,47.80943438,18.10475277,31.54026153,77.34860382,90.25653394,280.346621,36.84513695,314.5123894,9.427598696,0.481406038,0.046397378,16.25986044,4.095197885
271.179596,39.36549782,246.2713581,5.629589498,11.70041296,917.6584115,16.32997268,Sorghum,Rabi,,,,,60.46355185,96.08897608,16.37229929,35.0591919,46.73210968,69.78331007,125.0249118,32.13629157,165.8183905,59.7790298,292.4870617,3.478204144,1.397678082,0.041998822,11.64496545,6.031374542
