crop_type,sensor_nitrogen,sensor_phosphorus,sensor_potassium,soil_pH,soil_moisture_percent,soil_electrical_conductivity_us_cm,soil_temperature_celsius,fertilizer_urea_kg_per_ha,fertilizer_dap_kg_per_ha,fertilizer_map_kg_per_ha,fertilizer_mop_kg_per_ha,fertilizer_sop_kg_per_ha,fertilizer_can_kg_per_ha,fertilizer_ssp_kg_per_ha,fertilizer_ammonium_sulfate_kg_per_ha
Sorghum,348.62,50.39,303.87,6.65,37.09,734.05,29.07,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,219.92,70.0,312.04,7.79,35.58,955.95,15.13,50.0,20.0,10.0,30.0,10.0,26.46,30.0,35.78
Barley,349.0,28.08,388.38,6.97,29.95,1138.75,16.85,50.0,21.73,10.0,30.0,10.0,20.0,99.39,20.0
Cotton,112.0,15.93,100.0,6.14,15.73,657.63,24.35,200.0,95.07,45.48,100.0,48.52,100.0,150.0,100.0
Sorghum,304.69,50.67,399.0,6.6,14.06,1455.17,32.61,50.0,20.0,10.12,30.0,10.0,20.0,30.0,20.0
Barley,162.04,36.35,375.67,6.19,11.32,650.53,14.95,105.84,20.0,10.0,30.0,10.0,90.29,68.54,76.83
Rice,210.6,49.32,100.0,6.27,12.16,522.0,24.2,110.51,20.0,10.0,30.51,15.92,99.73,30.0,76.77
Rice,244.57,20.81,235.79,6.12,10.0,755.64,32.28,68.98,100.0,50.0,30.0,10.0,58.32,150.0,49.45
Groundnut,293.7,30.54,275.94,7.16,13.94,1065.58,32.95,50.0,82.17,36.6,30.0,10.0,20.0,150.0,20.0
Barley,206.51,18.49,399.0,7.82,27.67,1353.97,25.49,50.0,47.88,14.59,30.0,10.0,33.51,150.0,20.97
Maize,177.34,12.04,100.0,6.85,13.53,117.47,18.91,200.0,100.0,50.0,100.0,45.95,100.0,150.0,100.0
Cotton,309.07,48.51,166.53,7.05,21.01,563.58,31.73,50.0,20.0,10.0,44.16,27.34,23.38,30.0,20.87
Soybean,81.0,43.86,122.51,7.4,27.8,1838.24,23.7,50.0,20.0,10.0,30.0,10.0,41.8,38.57,28.23
Sorghum,331.1,14.22,162.68,6.94,16.61,582.91,25.16,50.0,60.16,28.86,30.0,10.0,20.0,150.0,20.0
Barley,185.35,36.08,271.59,6.9,29.82,1612.01,26.29,50.0,20.0,10.0,30.0,10.0,37.09,30.0,38.31
Wheat,81.0,47.48,124.83,5.69,12.32,1562.99,17.24,198.8,20.0,10.0,30.0,20.11,100.0,30.0,100.0
Rice,238.23,16.18,139.89,7.94,39.9,1422.35,27.09,50.0,44.67,21.42,30.0,10.0,28.72,150.0,28.82
Groundnut,176.26,34.49,399.0,6.52,21.03,187.41,25.75,50.0,61.37,22.65,30.0,10.0,20.0,150.0,20.0
Sorghum,336.27,63.2,178.27,5.83,30.4,1051.98,27.35,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Soybean,349.0,36.48,399.0,7.86,18.57,231.79,21.01,50.0,40.44,20.08,30.0,10.0,20.0,150.0,20.0
Soybean,349.0,45.02,261.1,6.77,37.64,1490.13,23.4,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,151.49,47.67,117.61,6.84,15.61,120.59,35.0,50.0,38.66,24.19,100.0,50.0,20.0,150.0,20.0
Cotton,81.0,52.68,235.36,6.99,10.0,1500.37,30.21,185.02,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Wheat,113.2,70.0,244.12,6.43,39.9,1899.77,29.55,83.03,20.0,10.0,30.0,10.0,76.6,30.0,70.13
Cotton,196.66,40.69,102.75,6.1,17.52,257.49,30.01,194.22,20.0,10.0,100.0,50.0,100.0,108.73,100.0
Rice,96.98,22.14,239.25,6.55,10.33,1500.49,28.94,134.65,62.45,25.18,30.0,10.0,100.0,150.0,100.0
Soybean,294.34,46.7,208.66,6.33,33.04,1400.99,23.79,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,81.0,11.62,184.51,6.3,17.55,1835.01,25.85,166.74,70.09,25.15,30.0,10.0,100.0,150.0,100.0
Rice,176.7,16.81,301.47,6.68,39.8,1088.31,34.67,96.33,79.11,30.36,30.0,10.0,76.09,150.0,67.03
Groundnut,239.28,33.53,231.24,7.34,16.36,1076.58,27.75,50.0,47.3,18.86,33.29,16.64,20.0,150.0,20.0
Maize,120.58,19.51,179.94,6.73,16.57,1317.66,21.82,154.65,55.9,31.53,30.0,10.0,100.0,150.0,100.0
Soybean,157.01,25.09,220.96,5.69,10.0,711.01,18.83,67.12,96.5,39.44,30.0,10.0,44.76,150.0,41.29
Groundnut,152.67,33.98,259.39,5.86,11.25,1455.36,28.76,50.0,51.95,20.12,30.0,10.0,20.0,150.0,20.0
Wheat,214.89,12.28,156.36,5.85,10.96,1000.54,20.55,154.13,100.0,46.27,30.0,17.4,100.0,150.0,100.0
Soybean,216.24,39.82,165.46,7.48,18.03,550.73,18.92,50.0,35.13,15.78,30.0,10.0,20.0,150.0,20.0
Cotton,235.52,65.04,101.59,7.46,22.25,1473.5,30.21,55.6,20.0,10.0,46.62,18.99,49.44,30.0,51.01
Rice,238.31,69.22,225.62,6.81,19.39,963.11,25.64,50.0,20.0,10.0,30.0,10.0,30.63,30.0,35.15
Sorghum,334.69,70.0,157.88,7.04,39.9,444.34,28.23,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Soybean,301.34,70.0,253.32,7.38,35.67,958.7,27.14,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Soybean,235.82,32.97,399.0,7.54,17.55,1769.4,24.95,50.0,24.93,10.43,30.0,10.0,20.0,84.25,20.0
Wheat,120.86,63.83,158.98,6.48,39.9,384.84,21.22,200.0,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Wheat,335.77,19.2,275.87,6.66,22.67,134.41,23.15,50.0,68.37,30.08,30.0,10.0,32.32,150.0,34.25
Groundnut,118.96,63.45,399.0,6.01,17.67,414.49,24.86,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Rice,170.04,33.89,261.22,7.36,24.47,759.21,33.41,106.17,46.65,17.83,30.0,10.0,95.91,150.0,93.36
Rice,300.85,11.86,388.78,6.77,39.9,382.46,29.86,50.0,85.08,37.54,30.0,10.0,20.0,150.0,20.0
Soybean,117.29,62.18,306.78,7.29,36.23,861.45,28.16,50.0,20.0,10.0,30.0,10.0,53.32,30.0,47.28
Rice,170.87,55.34,137.69,6.66,39.9,439.23,32.48,85.93,20.0,10.0,30.0,10.0,78.23,30.0,65.64
Soybean,83.51,15.13,162.37,5.85,12.35,1207.78,21.79,67.66,71.93,37.57,30.0,10.0,60.23,150.0,50.95
